name,caliber,price,quantity,price_per_round,retailer,in_stock,product_url,scraped_at
1000 Rounds of 9mm NATO Ammo by Winchester - 124gr FMJ,9MM,244.0,1000,0.244,Bulk Ammo,True,https://www.bulkammo.com/1000-rounds-of-9mm-nato-ammo-by-winchester-124gr-fmj,2025-06-09 21:52:49
1000 Rounds of 9mm Ammo by Ammo Inc. - 115gr FMJ,9MM,244.0,1000,0.244,Bulk Ammo,True,https://www.bulkammo.com/1000-rounds-of-9mm-ammo-by-ammo-inc-115gr-fmj,2025-06-09 21:52:49
750 Rounds of 5.56x45 Ammo by Turan - 55gr FMJ,5.56,314.0,750,0.4187,Bulk Ammo,True,https://www.bulkammo.com/750-rounds-of-5-56x45-ammo-by-turan-55gr-fmj,2025-06-09 21:52:49
1000 Rounds of .223 Ammo by Winchester USA - 62gr FMJ,.223,489.0,1000,0.489,Bulk Ammo,True,https://www.bulkammo.com/1000-rounds-of-223-rem-ammo-by-winchester-usa-62gr-fmj,2025-06-09 21:52:49
800 Rounds of 5.56x45 Ammo by Winchester USA - 55gr FMJ,5.56,369.0,800,0.4612,Bulk Ammo,True,https://www.bulkammo.com/800-rounds-of-5-56x45-ammo-by-winchester-usa-55gr-fmj,2025-06-09 21:52:49
